EraID,EraNarrative,EventID,EventNarrative,EventDifficulty,OptionID,OptionText,OptionTag,PositiveOutcomeText,PositivePS_Change,NegativeOutcomeText,NegativePS_Change
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E3,"ECONOMIC BOOM - A sudden abundance of flint, fertile land, or copper ore brings prosperity.",Variable,O3,Deploy specialised teams to analyse and mitigate the issue.,Generic,Surveyors find optimal mining and farming zones.,11,Miscalculations ruin fields or mines.,-9
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E3,"ECONOMIC BOOM - A sudden abundance of flint, fertile land, or copper ore brings prosperity.",Variable,O4,Redirect national resources to aggressively solve the problem.,Generic,Rapid expansion strengthens trade and craft.,8,Overextension exhausts workers.,-10
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E3,"ECONOMIC BOOM - A sudden abundance of flint, fertile land, or copper ore brings prosperity.",Variable,O5,Allow local communities autonomy to handle the situation.,Generic,Local plans diversify prosperity.,7,Imbalanced growth sparks tension.,-6
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E4,"LEADERSHIP CRISIS - A chieftain falls ill or councils fracture, creating uncertainty.",Variable,O1,Invest in widespread infrastructure improvements.,Generic,Communal shelters reinforce leadership legitimacy.,10,Construction failures embarrass leadership.,-8
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E4,"LEADERSHIP CRISIS - A chieftain falls ill or councils fracture, creating uncertainty.",Variable,O2,Open dialogue with affected groups to address concerns.,Generic,Clan leaders reconcile through rituals.,9,Dialogues turn accusatory and divisive.,-7
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E4,"LEADERSHIP CRISIS - A chieftain falls ill or councils fracture, creating uncertainty.",Variable,O3,Deploy specialised teams to analyse and mitigate the issue.,Generic,Advisors restore order with accurate scouting.,11,Misread threats undermine authority.,-9
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E4,"LEADERSHIP CRISIS - A chieftain falls ill or councils fracture, creating uncertainty.",Variable,O4,Redirect national resources to aggressively solve the problem.,Generic,Resource focus stabilises governance.,8,Move appears tyrannical; clans resist.,-10
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E4,"LEADERSHIP CRISIS - A chieftain falls ill or councils fracture, creating uncertainty.",Variable,O5,Allow local communities autonomy to handle the situation.,Generic,Local leaders unify regions independently.,7,Fragmentation worsens into factional rule.,-6
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E5,"TECHNOLOGICAL BREAKTHROUGH - Early innovations in pottery, weaving, or metallurgy emerge.",Variable,O1,Invest in widespread infrastructure improvements.,Generic,Improved kilns and furnaces boost productivity.,10,Kiln fires destroy key supplies.,-8
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E5,"TECHNOLOGICAL BREAKTHROUGH - Early innovations in pottery, weaving, or metallurgy emerge.",Variable,O2,Open dialogue with affected groups to address concerns.,Generic,Knowledge spreads quickly through open debate.,9,Arguments stall adoption.,-7
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E5,"TECHNOLOGICAL BREAKTHROUGH - Early innovations in pottery, weaving, or metallurgy emerge.",Variable,O3,Deploy specialised teams to analyse and mitigate the issue.,Generic,Specialists refine breakthrough tech.,11,Failed replications create mistrust.,-9
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E5,"TECHNOLOGICAL BREAKTHROUGH - Early innovations in pottery, weaving, or metallurgy emerge.",Variable,O4,Redirect national resources to aggressively solve the problem.,Generic,Scaled production accelerates growth.,8,Overproduction depletes resources.,-10
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E5,"TECHNOLOGICAL BREAKTHROUGH - Early innovations in pottery, weaving, or metallurgy emerge.",Variable,O5,Allow local communities autonomy to handle the situation.,Generic,Local experimentation yields varied successes.,7,Uneven adoption fuels resentment.,-6
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E6,"NATURAL DISASTER - Floods, storms, or droughts disrupt life across the tribe.",Variable,O1,Invest in widespread infrastructure improvements.,Generic,Reinforced shelters save many lives.,10,Infrastructure collapses disastrously.,-8
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E6,"NATURAL DISASTER - Floods, storms, or droughts disrupt life across the tribe.",Variable,O2,Open dialogue with affected groups to address concerns.,Generic,Coordinated evacuation prevents casualties.,9,Chaotic flight worsens danger.,-7
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E6,"NATURAL DISASTER - Floods, storms, or droughts disrupt life across the tribe.",Variable,O3,Deploy specialised teams to analyse and mitigate the issue.,Generic,Scouts find safe highlands.,11,Miscalculation leads into greater peril.,-9
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E6,"NATURAL DISASTER - Floods, storms, or droughts disrupt life across the tribe.",Variable,O4,Redirect national resources to aggressively solve the problem.,Generic,Emergency barriers reduce damage.,8,Resources run out mid-construction.,-10
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E6,"NATURAL DISASTER - Floods, storms, or droughts disrupt life across the tribe.",Variable,O5,Allow local communities autonomy to handle the situation.,Generic,Communities adapt with creative survival.,7,Fragmented responses doom weaker clans.,-6
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E7,FOREIGN RELATIONS INCIDENT - Tensions rise with a neighbouring tribe.,Variable,O1,Invest in widespread infrastructure improvements.,Generic,Improved trails strengthen alliances.,10,Clumsy trails expose weaknesses.,-8
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E7,FOREIGN RELATIONS INCIDENT - Tensions rise with a neighbouring tribe.,Variable,O2,Open dialogue with affected groups to address concerns.,Generic,Talks establish shared hunting zones.,9,Miscommunication sparks hostility.,-7
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E7,FOREIGN RELATIONS INCIDENT - Tensions rise with a neighbouring tribe.,Variable,O3,Deploy specialised teams to analyse and mitigate the issue.,Generic,Envoys gauge intentions accurately.,11,Envoys offend neighbours unintentionally.,-9
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E7,FOREIGN RELATIONS INCIDENT - Tensions rise with a neighbouring tribe.,Variable,O4,Redirect national resources to aggressively solve the problem.,Generic,Stronger defenses deter conflict.,8,Aggressive stance provokes conflict.,-10
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E7,FOREIGN RELATIONS INCIDENT - Tensions rise with a neighbouring tribe.,Variable,O5,Allow local communities autonomy to handle the situation.,Generic,Local negotiation reduces central pressure.,7,Mixed messages escalate tension.,-6
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E8,"POPULATION SURGE - A baby boom strains food, housing, and safety.",Variable,O1,Invest in widespread infrastructure improvements.,Generic,Expanded housing and granaries sustain growth.,10,Overcrowding causes structural failures.,-8
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E8,"POPULATION SURGE - A baby boom strains food, housing, and safety.",Variable,O2,Open dialogue with affected groups to address concerns.,Generic,Resource sharing agreements maintain harmony.,9,Distribution disputes intensify.,-7
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E8,"POPULATION SURGE - A baby boom strains food, housing, and safety.",Variable,O3,Deploy specialised teams to analyse and mitigate the issue.,Generic,Specialists locate new farmland.,11,New fields flood or attract predators.,-9
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E8,"POPULATION SURGE - A baby boom strains food, housing, and safety.",Variable,O4,Redirect national resources to aggressively solve the problem.,Generic,Rapid expansion of farmland increases output.,8,Overused soil collapses harvests.,-10
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E8,"POPULATION SURGE - A baby boom strains food, housing, and safety.",Variable,O5,Allow local communities autonomy to handle the situation.,Generic,Communities adapt quickly.,7,Fragmented responses create chaos.,-6
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E9,PUBLIC HEALTH CHALLENGE - A strange illness spreads through villages.,Variable,O1,Invest in widespread infrastructure improvements.,Generic,Sanitation pits slow disease spread.,10,Poor construction worsens contamination.,-8
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E9,PUBLIC HEALTH CHALLENGE - A strange illness spreads through villages.,Variable,O2,Open dialogue with affected groups to address concerns.,Generic,Healers align on treatment methods.,9,Healers argue and confuse treatments.,-7
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E9,PUBLIC HEALTH CHALLENGE - A strange illness spreads through villages.,Variable,O3,Deploy specialised teams to analyse and mitigate the issue.,Generic,Medicinal herbs are identified.,11,Herbal mistakes worsen illness.,-9
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E9,PUBLIC HEALTH CHALLENGE - A strange illness spreads through villages.,Variable,O4,Redirect national resources to aggressively solve the problem.,Generic,Quarantine shelters reduce spread.,8,Overcrowded shelters amplify outbreak.,-10
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E9,PUBLIC HEALTH CHALLENGE - A strange illness spreads through villages.,Variable,O5,Allow local communities autonomy to handle the situation.,Generic,Local isolation reduces transmission.,7,"Clans hide symptoms, causing larger wave.",-6
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E10,"WORKER UNREST - Hunters, farmers, or miners grow dissatisfied with burdens.",Variable,O1,Invest in widespread infrastructure improvements.,Generic,Upgrades lighten workloads.,10,Failed upgrades worsen burdens.,-8
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E10,"WORKER UNREST - Hunters, farmers, or miners grow dissatisfied with burdens.",Variable,O2,Open dialogue with affected groups to address concerns.,Generic,Dialogue renews motivation.,9,Workers feel unheard; unrest grows.,-7
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E10,"WORKER UNREST - Hunters, farmers, or miners grow dissatisfied with burdens.",Variable,O3,Deploy specialised teams to analyse and mitigate the issue.,Generic,Optimised work cycles reduce strain.,11,Plans miscalculate and increase pressure.,-9
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E10,"WORKER UNREST - Hunters, farmers, or miners grow dissatisfied with burdens.",Variable,O4,Redirect national resources to aggressively solve the problem.,Generic,Redirected resources provide rest.,8,"Other tasks suffer, spreading discontent.",-10
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E10,"WORKER UNREST - Hunters, farmers, or miners grow dissatisfied with burdens.",Variable,O5,Allow local communities autonomy to handle the situation.,Generic,Autonomous labour organisation succeeds.,7,Uneven workloads fuel resentment.,-6
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E1,"RESOURCE SHORTAGE - Essential metals, grains, or timber decline, threatening stability.",Variable,O1,Invest in widespread infrastructure improvements.,Generic,"Engineers restore aqueducts, granaries, and harbours to stabilise supplies.",10,Structural failures worsen shortages and spark public outrage.,-8
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E1,"RESOURCE SHORTAGE - Essential metals, grains, or timber decline, threatening stability.",Variable,O2,Open dialogue with affected groups to address concerns.,Generic,Senate-led discussions create fair rationing laws.,9,Public forums devolve into blame and heated division.,-7
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E1,"RESOURCE SHORTAGE - Essential metals, grains, or timber decline, threatening stability.",Variable,O3,Deploy specialised teams to analyse and mitigate the issue.,Generic,Surveyors locate new farmlands and timber routes.,11,Teams misjudge terrain and return empty-handed.,-9
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E1,"RESOURCE SHORTAGE - Essential metals, grains, or timber decline, threatening stability.",Variable,O4,Redirect national resources to aggressively solve the problem.,Generic,Rapid mobilisation secures emergency imports and distribution.,8,"Treasuries drain and corruption rises, worsening shortages.",-10
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E1,"RESOURCE SHORTAGE - Essential metals, grains, or timber decline, threatening stability.",Variable,O5,Allow local communities autonomy to handle the situation.,Generic,City-states adapt through local reforms.,7,Fragmented solutions create wealth imbalance and tension.,-6
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E2,CULTURAL SCHISM - Ideological factions within society clash sharply.,Variable,O1,Invest in widespread infrastructure improvements.,Generic,Shared monuments and theatres strengthen cultural unity.,10,Building projects become symbols of factional rivalry.,-8
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E2,CULTURAL SCHISM - Ideological factions within society clash sharply.,Variable,O2,Open dialogue with affected groups to address concerns.,Generic,"Philosophers mediate debates, easing ideological tension.",9,Debates ignite unrest in public squares.,-7
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E2,CULTURAL SCHISM - Ideological factions within society clash sharply.,Variable,O3,Deploy specialised teams to analyse and mitigate the issue.,Generic,Scholars codify blended traditions into a unifying doctrine.,11,The doctrine is condemned as biased and sparks revolt.,-9
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E2,CULTURAL SCHISM - Ideological factions within society clash sharply.,Variable,O4,Redirect national resources to aggressively solve the problem.,Generic,Strong state action suppresses instability temporarily.,8,Crackdowns fuel resentment and underground movements.,-10
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E2,CULTURAL SCHISM - Ideological factions within society clash sharply.,Variable,O5,Allow local communities autonomy to handle the situation.,Generic,"Local expression flourishes, eventually stabilising society.",7,"City-states drift apart culturally, threatening unity.",-6
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E3,ECONOMIC BOOM - Trade expansion or agricultural abundance surges prosperity.,Variable,O1,Invest in widespread infrastructure improvements.,Generic,Improved roads and ports convert the boom into sustained growth.,10,Overbuilt projects collapse under mismanagement.,-8
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E3,ECONOMIC BOOM - Trade expansion or agricultural abundance surges prosperity.,Variable,O2,Open dialogue with affected groups to address concerns.,Generic,Merchants negotiate equitable trade terms.,9,Guild disputes erupt over profit control.,-7
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E3,ECONOMIC BOOM - Trade expansion or agricultural abundance surges prosperity.,Variable,O3,Deploy specialised teams to analyse and mitigate the issue.,Generic,Economists optimise market routes and tariffs.,11,Misjudged tariffs disrupt key trade lines.,-9
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E3,ECONOMIC BOOM - Trade expansion or agricultural abundance surges prosperity.,Variable,O4,Redirect national resources to aggressively solve the problem.,Generic,State investment fuels rapid expansion.,8,Overspending inflates prices and destabilises markets.,-10
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E3,ECONOMIC BOOM - Trade expansion or agricultural abundance surges prosperity.,Variable,O5,Allow local communities autonomy to handle the situation.,Generic,"Local markets innovate, diversifying prosperity.",7,Uneven growth stirs jealousy between city-states.,-6
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E4,LEADERSHIP CRISIS - Political institutions falter or rival leaders contest power.,Variable,O1,Invest in widespread infrastructure improvements.,Generic,Restored institutions bolster civic confidence.,10,"Reforms fail, exposing deeper instability.",-8
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E4,LEADERSHIP CRISIS - Political institutions falter or rival leaders contest power.,Variable,O2,Open dialogue with affected groups to address concerns.,Generic,Dialogue between political factions renews cooperation.,9,"Talks collapse, leading to riots.",-7
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E4,LEADERSHIP CRISIS - Political institutions falter or rival leaders contest power.,Variable,O3,Deploy specialised teams to analyse and mitigate the issue.,Generic,Advisors craft stabilising policy reforms.,11,Bad counsel worsens the crisis.,-9
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E4,LEADERSHIP CRISIS - Political institutions falter or rival leaders contest power.,Variable,O4,Redirect national resources to aggressively solve the problem.,Generic,Redirected resources strengthen loyalist forces.,8,Aggressive action sparks insurgency.,-10
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E4,LEADERSHIP CRISIS - Political institutions falter or rival leaders contest power.,Variable,O5,Allow local communities autonomy to handle the situation.,Generic,City-state autonomy produces new leaders who restore order.,7,Decentralisation leads to fragmented governance.,-6
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E5,"TECHNOLOGICAL BREAKTHROUGH - Innovations in engineering, science, or philosophy emerge.",Variable,O1,Invest in widespread infrastructure improvements.,Generic,Engineers refine inventions into practical systems.,10,Infrastructure accidents damage public trust.,-8
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E5,"TECHNOLOGICAL BREAKTHROUGH - Innovations in engineering, science, or philosophy emerge.",Variable,O2,Open dialogue with affected groups to address concerns.,Generic,Philosophical debate spreads the breakthrough effectively.,9,Intellectual disputes delay adoption.,-7
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E5,"TECHNOLOGICAL BREAKTHROUGH - Innovations in engineering, science, or philosophy emerge.",Variable,O3,Deploy specialised teams to analyse and mitigate the issue.,Generic,Experts formalise the new knowledge into teachable methods.,11,Failed experiments undermine credibility.,-9
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E5,"TECHNOLOGICAL BREAKTHROUGH - Innovations in engineering, science, or philosophy emerge.",Variable,O4,Redirect national resources to aggressively solve the problem.,Generic,State-funded workshops accelerate innovation.,8,Resource strain causes other sectors to collapse.,-10
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E5,"TECHNOLOGICAL BREAKTHROUGH - Innovations in engineering, science, or philosophy emerge.",Variable,O5,Allow local communities autonomy to handle the situation.,Generic,Local academies adapt the innovation creatively.,7,Uneven adaptation deepens regional inequality.,-6
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E6,"NATURAL DISASTER - Earthquakes, droughts, or floods disrupt daily life.",Variable,O1,Invest in widespread infrastructure improvements.,Generic,Reinforced stone structures save thousands.,10,Collapsed fortifications cause massive casualties.,-8
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E6,"NATURAL DISASTER - Earthquakes, droughts, or floods disrupt daily life.",Variable,O2,Open dialogue with affected groups to address concerns.,Generic,Civic assemblies coordinate effective disaster response.,9,"Meetings waste precious time, worsening losses.",-7
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E6,"NATURAL DISASTER - Earthquakes, droughts, or floods disrupt daily life.",Variable,O3,Deploy specialised teams to analyse and mitigate the issue.,Generic,Specialists identify evacuation paths.,11,Incorrect predictions lead citizens into danger.,-9
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E6,"NATURAL DISASTER - Earthquakes, droughts, or floods disrupt daily life.",Variable,O4,Redirect national resources to aggressively solve the problem.,Generic,Resources swiftly mobilised stabilise affected regions.,8,"Supplies depleted too quickly, worsening recovery.",-10
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E6,"NATURAL DISASTER - Earthquakes, droughts, or floods disrupt daily life.",Variable,O5,Allow local communities autonomy to handle the situation.,Generic,Local leaders act quickly and decisively.,7,Disjointed responses lead to chaos.,-6
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E7,FOREIGN RELATIONS INCIDENT - Diplomatic tensions rise with external powers.,Variable,O1,Invest in widespread infrastructure improvements.,Generic,Improved ports and embassies strengthen diplomacy.,10,New structures reveal military weaknesses.,-8
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E7,FOREIGN RELATIONS INCIDENT - Diplomatic tensions rise with external powers.,Variable,O2,Open dialogue with affected groups to address concerns.,Generic,Talks ease tensions and create cooperation pacts.,9,Negotiations insult foreign envoys accidentally.,-7
Classical,"Your civilisation enters the Classical Era—a time of philosophy, structured governance, expanding borders, and flourishing culture.",E7,FOREIGN RELATIONS INCIDENT - Diplomatic tensions rise with external powers.,Variable,O3,Deploy specialised teams to analyse and mitigate the issue.,Generic,Diplomatic envoys assess foreign intentions accurately.,11,Misinterpretation triggers military escalation.,-9
